Date,Open,High,Low,Close,Adj Close,Volume
1980-12-15,0.488839,0.506696,0.450893,28.250000,0.504464,122533600
1980-12-22,0.529018,0.636161,0.529018,35.500000,0.633929,46972800
1980-12-29,0.642857,0.645089,0.609375,34.500000,0.616071,54863200
1981-01-05,0.604911,0.604911,0.540179,31.874998,0.569196,49476000
1981-01-12,0.569196,0.569196,0.544643,30.999998,0.553571,22125600
1981-01-19,0.587054,0.591518,0.569196,32.750000,0.584821,33583200
1981-01-26,0.578125,0.578125,0.504464,28.250000,0.504464,41647200
1981-02-02,0.477679,0.515625,0.475446,28.750000,0.513393,23144800
1981-02-09,0.491071,0.491071,0.455357,25.500000,0.455357,18664800
1981-02-16,0.466518,0.491071,0.433036,24.250000,0.433036,19549600
1981-02-23,0.439732,0.477679,0.424107,26.500000,0.473214,19045600
1981-03-02,0.475446,0.477679,0.457589,25.625000,0.457589,14655200
1981-03-09,0.424107,0.424107,0.386161,22.250000,0.397321,91028000
1981-03-16,0.412946,0.464286,0.412946,25.750000,0.459821,42582400
1981-03-23,0.477679,0.482143,0.441964,24.750000,0.441964,20440000
1981-03-30,0.441964,0.475446,0.433036,26.500000,0.473214,26964000
1981-04-06,0.466518,0.500000,0.459821,27.875000,0.497768,25351200
1981-04-13,0.497768,0.500000,0.446429,25.000000,0.446429,20160000
1981-04-20,0.459821,0.524554,0.459821,29.000000,0.517857,43988000
1981-04-27,0.515625,0.515625,0.497768,28.374998,0.506696,28380800
1981-05-04,0.506696,0.506696,0.488839,28.000000,0.500000,17052000
1981-05-11,0.491071,0.497768,0.479911,27.500000,0.491071,7733600
1981-05-18,0.500000,0.564732,0.491071,31.375000,0.560268,26628000
1981-05-25,0.560268,0.593750,0.558036,33.125000,0.591518,92052800
1981-06-01,0.591518,0.593750,0.562500,31.625000,0.564732,61219200
1981-06-08,0.546875,0.589286,0.544643,32.500000,0.580357,75773600
1981-06-15,0.580357,0.580357,0.540179,30.250002,0.540179,64786400
1981-06-22,0.522321,0.533482,0.515625,29.125000,0.520089,24236800
1981-06-29,0.506696,0.506696,0.459821,25.750000,0.459821,61812800
1981-07-06,0.448661,0.468750,0.397321,22.250000,0.397321,34260800
1981-07-13,0.406250,0.464286,0.406250,25.875000,0.462054,27882400
1981-07-20,0.433036,0.433036,0.404018,24.000000,0.428571,35392000
1981-07-27,0.446429,0.448661,0.424107,25.000000,0.446429,19135200
1981-08-03,0.446429,0.464286,0.441964,25.250000,0.450893,20333600
1981-08-10,0.441964,0.441964,0.408482,22.875000,0.408482,37352000
1981-08-17,0.399554,0.399554,0.359375,20.125000,0.359375,28901600
1981-08-24,0.339286,0.361607,0.337054,20.125000,0.359375,40331200
1981-08-31,0.359375,0.390625,0.359375,20.375000,0.363839,37520000
1981-09-07,0.354911,0.357143,0.350446,19.625000,0.350446,27081600
1981-09-14,0.341518,0.341518,0.314732,17.750000,0.316964,28061600
1981-09-21,0.319196,0.321429,0.254464,14.250001,0.254464,44391200
1981-09-28,0.256696,0.296875,0.256696,16.500000,0.294643,85646400
1981-10-05,0.303571,0.337054,0.301339,18.625000,0.332589,48977600
1981-10-12,0.343750,0.348214,0.323661,18.250000,0.325893,42106400
1981-10-19,0.332589,0.352679,0.332589,19.000000,0.339286,48350400
1981-10-26,0.339286,0.359375,0.339286,20.000000,0.357143,60065600
1981-11-02,0.357143,0.359375,0.319196,18.000000,0.321429,34266400
1981-11-09,0.325893,0.350446,0.323661,18.125000,0.323661,31376800
1981-11-16,0.321429,0.341518,0.319196,19.000000,0.339286,41305600
1981-11-23,0.328125,0.339286,0.321429,18.875000,0.337054,33728800
1981-11-30,0.334821,0.341518,0.330357,19.000000,0.339286,60625600
1981-12-07,0.341518,0.343750,0.334821,18.750000,0.334821,64422400
1981-12-14,0.328125,0.410714,0.323661,22.875000,0.408482,61297600
